Type,calcite,calcite,calcite,calcite,derived,metadata,metadata,overgrowth,overgrowth,overgrowth,overgrowth,overgrowth,overgrowth,overgrowth,overgrowth,overgrowth,overgrowth,precipitate,precipitate,precipitate,precipitate,precipitate,precipitate,precipitate,precipitate,seed,seed,seed,seed,seed,seed,seed,solution_end,solution_end,solution_end,solution_end,solution_end,solution_end,solution_end,solution_end,solution_end,solution_end,solution_start,solution_start,solution_start,solution_start,solution_start,solution_start,solution_start,solution_start,solution_start,solution_start,solution_start,vaterite,vaterite,vaterite,vaterite,vaterite,vaterite,vaterite,vaterite
Quantity,B/Ca,Mg/Ca,Na/Ca,Sr/Ca,f,Batch,Experiment,B/Ca,D_B,D_Mg,D_Na,D_Sr,F_V,F_V_percent,Mg/Ca,Na/Ca,Sr/Ca,B/Ca,Mg/Ca,Na/Ca,Sr/Ca,d13C,diameter,fraction_vaterite,percent_vaterite,B/Ca,Mg/Ca,Na/Ca,Sr/Ca,d13C,diameter,percent_vaterite,B,Ca,Mg,Mg/Ca,Na,Na/Ca,Sr,Sr/Ca,d13C,pH_NBS,B,B/C,C,Ca,Mg,Mg/Ca,Na,Na/Ca,Sr,Sr/Ca,pH_NBS,B/Ca,D_B,D_Mg,D_Na,D_Sr,Mg/Ca,Na/Ca,Sr/Ca
Instrument,calc,calc,calc,calc,calc,NA,NA,calc,calc,calc,calc,calc,calc,calc,calc,calc,calc,iCap,iCap,iCap,iCap,GS-IRMS,SEM,XRD,XRD,Agilent (10) / iCap (28),Agilent (10) / iCap (28),Agilent (10) / iCap (28),Agilent (10) / iCap (28),GS-IRMS,SEM,XRD,Agilent,Agilent,Agilent,calc,Agilent,calc,Agilent,calc,GS-IRMS,electrode,Agilent,calc,dissolution,Agilent,Agilent,calc,Agilent,calc,Agilent,calc,electrode,calc,calc,calc,calc,calc,calc,calc,calc
Unit,,,,,fractional_abundance,NA,NA,mol/mol,,,,,fractional_abundance,fractional_abundance,mol/mol,mol/mol,mol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,permil,μm,mass_fraction,percent,mmol/mol,mmol/mol,mmol/mol,mmol/mol,permil,μm,percent,mmol,mmol,mmol,mol/mol,mmol,mol/mol,mmol,mol/mol,permil,NA,mmol,mol/mol,mmol,mmol,mmol,mol/mol,mmol,mol/mol,mmol,mol/mol,NA,mol/mol,,,,,mol/mol,mol/mol,mol/mol
15,(2.0+/-0.4)e-06,(-1.6+/-2.2)e-06,0.00193+/-0.00024,(5.5+/-1.6)e-06,0.435+/-0.006,1,Control,nan+/-nan,nan+/-nan,0.96+/-0.08,0.00232+/-0.00023,-0.08+/-0.06,0.551+/-0.008,0.589+/-0.005,-0.000107+/-0.000004,0.0449+/-0.0031,(-6+/-5)e-06,nan+/-nan,-0.0224+/-0.0011,26.0+/-1.3,0.0271+/-0.0014,108.0+/-1.0,5.57,0.7784+/-0.0025,79.47,0.0168+/-0.0008,0.0424+/-0.0021,11.5+/-0.6,0.0526+/-0.0026,193.9+/-1.0,5,95.32,0.00172+/-0.00009,10.8+/-0.5,0.000170+/-0.000008,(1.57+/-0.11)e-05,237+/-12,21.9+/-1.6,0.00097+/-0.00005,(8.9+/-0.6)e-05,-2.0+/-1.0,7.461,0.0101+/-0.0005,0.00202+/-0.00010,5,12.8+/-0.6,-0.00143+/-0.00007,-0.000111+/-0.000008,248+/-12,19.3+/-1.4,0.00101+/-0.00005,(7.9+/-0.6)e-05,8.213,nan+/-nan,nan+/-nan,1.73+/-0.15,0.0041+/-0.0004,-0.20+/-0.11,-0.000192+/-0.000009,0.080+/-0.006,(-1.5+/-0.9)e-05
16,(9.0+/-1.9)e-06,0.0012+/-0.0017,0.00184+/-0.00023,(5.5+/-1.6)e-06,0.393+/-0.006,1,Mg,nan+/-nan,nan+/-nan,0.0261+/-0.0023,0.00060+/-0.00010,-0.10+/-0.07,0.566+/-0.008,0.571+/-0.006,0.00220+/-0.00012,0.0110+/-0.0017,(-8+/-6)e-06,nan+/-nan,0.89+/-0.04,11.3+/-0.6,0.0290+/-0.0015,116.3+/-1.0,5.6,0.8010+/-0.0023,80.31,0.0168+/-0.0008,0.0424+/-0.0021,11.5+/-0.6,0.0526+/-0.0026,193.9+/-1.0,5,95.32,0.0392+/-0.0020,10.4+/-0.5,1.04+/-0.05,0.100+/-0.007,236+/-12,22.7+/-1.6,0.00094+/-0.00005,(9.0+/-0.6)e-05,-2.4+/-1.0,7.486,0.0452+/-0.0023,0.0090+/-0.0005,5,12.2+/-0.6,1.03+/-0.05,0.084+/-0.006,225+/-11,18.4+/-1.3,0.00096+/-0.00005,(7.9+/-0.6)e-05,8.209,nan+/-nan,nan+/-nan,0.035+/-0.016,0.00098+/-0.00018,-0.22+/-0.13,0.0030+/-0.0013,0.0180+/-0.0030,(-1.8+/-1.0)e-05
17,(3.7+/-0.8)e-06,0.003+/-0.004,0.00218+/-0.00027,(5.7+/-1.7)e-06,0.404+/-0.006,1,Mg,nan+/-nan,nan+/-nan,0.0218+/-0.0019,0.00049+/-0.00008,-0.06+/-0.07,0.592+/-0.008,0.598+/-0.006,0.00421+/-0.00022,0.0106+/-0.0016,(-5+/-5)e-06,nan+/-nan,1.73+/-0.09,11.2+/-0.6,0.0294+/-0.0015,114.1+/-1.0,5.59,0.8073+/-0.0022,80.99,0.0168+/-0.0008,0.0424+/-0.0021,11.5+/-0.6,0.0526+/-0.0026,193.9+/-1.0,5,95.32,0.0110+/-0.0006,10.4+/-0.5,2.04+/-0.10,0.195+/-0.014,229+/-11,21.9+/-1.6,0.00085+/-0.00004,(8.1+/-0.6)e-05,-3.1+/-1.0,7.479,0.0185+/-0.0009,0.00370+/-0.00018,5,10.7+/-0.5,2.07+/-0.10,0.193+/-0.014,233+/-12,21.8+/-1.5,0.00087+/-0.00004,(8.1+/-0.6)e-05,8.193,nan+/-nan,nan+/-nan,0.027+/-0.014,0.00076+/-0.00014,-0.15+/-0.11,0.0053+/-0.0027,0.0165+/-0.0028,(-1.2+/-0.9)e-05
18,(6.0+/-1.2)e-06,0.006+/-0.009,0.00209+/-0.00026,(5.8+/-1.7)e-06,0.366+/-0.006,1,Mg,nan+/-nan,nan+/-nan,0.0226+/-0.0020,0.00012+/-0.00007,-0.05+/-0.08,0.520+/-0.010,0.527+/-0.007,0.0104+/-0.0006,0.0026+/-0.0015,(-4+/-6)e-06,nan+/-nan,3.85+/-0.19,8.2+/-0.4,0.0318+/-0.0016,121.5+/-1.0,5.39,0.7945+/-0.0023,79.71,0.0168+/-0.0008,0.0424+/-0.0021,11.5+/-0.6,0.0526+/-0.0026,193.9+/-1.0,5,95.32,0.0213+/-0.0011,10.5+/-0.5,5.10+/-0.25,0.487+/-0.034,228+/-11,21.8+/-1.5,0.00085+/-0.00004,(8.1+/-0.6)e-05,-4.1+/-1.0,7.523,0.0302+/-0.0015,0.00605+/-0.00030,5,10.7+/-0.5,4.93+/-0.25,0.460+/-0.033,223+/-11,20.9+/-1.5,0.00089+/-0.00004,(8.3+/-0.6)e-05,8.2,nan+/-nan,nan+/-nan,0.031+/-0.019,0.00014+/-0.00014,-0.16+/-0.15,0.014+/-0.009,0.0030+/-0.0029,(-1.3+/-1.2)e-05
19,(2.4+/-0.5)e-06,0.011+/-0.016,0.00185+/-0.00023,(6.8+/-2.0)e-06,0.288+/-0.006,1,Mg,nan+/-nan,nan+/-nan,0.0281+/-0.0025,0.00009+/-0.00011,-0.16+/-0.09,0.299+/-0.017,0.412+/-0.012,0.0229+/-0.0013,0.0016+/-0.0021,(-1.5+/-0.9)e-05,nan+/-nan,6.63+/-0.33,8.7+/-0.4,0.0330+/-0.0017,136.9+/-1.0,5.19,0.7646+/-0.0026,79.71,0.0168+/-0.0008,0.0424+/-0.0021,11.5+/-0.6,0.0526+/-0.0026,193.9+/-1.0,5,95.32,0.0370+/-0.0019,9.6+/-0.5,9.9+/-0.5,1.04+/-0.07,226+/-11,23.6+/-1.7,0.00076+/-0.00004,(8.0+/-0.6)e-05,-4.3+/-1.0,7.579,0.0122+/-0.0006,0.00244+/-0.00012,5,11.6+/-0.6,9.4+/-0.5,0.81+/-0.06,214+/-11,18.5+/-1.3,0.00112+/-0.00006,(9.6+/-0.7)e-05,8.198,nan+/-nan,nan+/-nan,0.06+/-0.05,0.0001+/-0.0004,-0.70+/-0.32,0.05+/-0.04,0.001+/-0.007,(-6.7+/-3.1)e-05
20,(5.0+/-1.0)e-07,0.03+/-0.04,0.00210+/-0.00026,(5.8+/-1.7)e-06,0.243+/-0.006,1,Mg,nan+/-nan,nan+/-nan,0.0182+/-0.0016,0.00008+/-0.00012,0.06+/-0.14,0.533+/-0.013,0.343+/-0.016,0.0336+/-0.0019,0.0017+/-0.0026,(0.5+/-1.2)e-05,nan+/-nan,8.2+/-0.4,9.1+/-0.5,0.0411+/-0.0021,145.9+/-1.0,5.26,0.8513+/-0.0018,80.5,0.0168+/-0.0008,0.0424+/-0.0021,11.5+/-0.6,0.0526+/-0.0026,193.9+/-1.0,5,95.32,0.00339+/-0.00017,10.8+/-0.5,19.9+/-1.0,1.84+/-0.13,226+/-11,20.9+/-1.5,0.00093+/-0.00005,(8.6+/-0.6)e-05,-4.8+/-1.0,7.785,0.00250+/-0.00013,0.000500+/-0.000025,5,11.7+/-0.6,21.6+/-1.1,1.85+/-0.13,245+/-12,21.0+/-1.5,0.00096+/-0.00005,(8.2+/-0.6)e-05,8.209,nan+/-nan,nan+/-nan,0.022+/-0.018,0.00006+/-0.00023,0.06+/-0.27,0.040+/-0.033,0.001+/-0.005,(0.5+/-2.2)e-05
21,(4.8+/-1.0)e-06,0.08+/-0.11,0.00253+/-0.00031,(5.4+/-1.6)e-06,0.261+/-0.006,1,Mg,nan+/-nan,nan+/-nan,0.0045+/-0.0004,0.00040+/-0.00011,0.64+/-0.17,0.9970+/-0.0022,0.014+/-0.023,0.0251+/-0.0014,0.0101+/-0.0027,(4.9+/-1.2)e-05,nan+/-nan,6.58+/-0.33,11.1+/-0.6,0.0517+/-0.0026,142.4+/-1.0,5.39,0.9646+/-0.0005,70.82,0.0168+/-0.0008,0.0424+/-0.0021,11.5+/-0.6,0.0526+/-0.0026,193.9+/-1.0,5,95.32,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-nan,-5.0+/-1.0,7.814,0.0240+/-0.0012,0.00479+/-0.00024,5,8.8+/-0.4,49.2+/-2.5,5.6+/-0.4,224+/-11,25.3+/-1.8,0.000682+/-0.000034,(7.7+/-0.5)e-05,8.198,nan+/-nan,nan+/-nan,0.0045+/-0.0004,0.00040+/-0.00011,0.64+/-0.17,0.0249+/-0.0015,0.0101+/-0.0027,(4.9+/-1.2)e-05
